time: 7.59.30 | Traxxas: :;emote 930 
time: 20.37.44 | adventures: fuck yes

time: 20.37.49 | adventures: :;afk 

time: 20.38.5 | adventures: doo doo 

time: 20.38.6 | adventures: doo 

time: 20.38.7 | adventures:  doo

time: 20.38.8 | adventures: doo do  

time: 20.38.12 | adventures: do dud u do 

time: 7.48.32 | Adventures: d 

time: 7.49.8 | Adventures:  - 

time: 8.15.0 | Adventures: mmm

time: 8.16.25 | Adventures: mmmmmmmmmmmmmmmmmmm

time: 8.17.13 | Adventures: seercull c:

time: 8.56.32 | traxxas: lluten 2822 1

time: 9.5.45 | traxxas: mmmmmmmmmmmmmmmmmm

time: 14.30.7 | traxxas: windo

time: 14.30.12 | traxxas: windowz94

time: 15.44.44 | Meatloaf: hurrr.-. 

time: 15.45.44 | WhoLikesHugs: ss

time: 15.56.54 | meekins: muuuuh 

time: 15.56.57 | meekins: meekinsszzszszs 

time: 15.57.4 | meekins: meeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeekins 

time: 16.8.5 | meekins: meekins haz sweg 

time: 16.8.8 | meekins: @dre@hey 

time: 16.8.15 | meekins:  @gre@hey 

time: 16.8.21 | meekins: hey @blu@hey 

time: 16.9.22 | meekins: d 

time: 16.9.22 | meekins: d 

time: 16.9.23 | meekins: a 

time: 16.9.23 | meekins: sd

time: 16.9.24 | meekins: a 

time: 16.9.24 | meekins: da

time: 16.9.25 | meekins: dg 

time: 16.9.25 | meekins: a 

time: 16.9.26 | meekins: ds

time: 16.9.26 | meekins: sd

time: 16.9.26 | meekins: gds

time: 19.1.25 | adventures: s 

time: 19.1.26 | adventures: ds

time: 19.7.38 | meekins: j

time: 19.7.38 | meekins: jj

time: 19.7.38 | meekins: j

time: 19.7.39 | meekins: j

time: 15.41.12 | ice king: .-.

time: 15.43.24 | melodramatic: .-.

time: 15.54.4 | melodramatic: ;-;

time: 15.54.12 | melodramatic: ;-:!:@;

time: 14.2.41 | mitch: hjh

time: 16.33.23 | mItch22@: sdsdsd

time: 23.33.12 | test: fgfdg 

time: 23.33.30 | test: g

time: 0.50.23 | mitch: a q p 

time: 0.50.24 | mitch:      w 

time: 1.36.32 | mitch:                 12855

time: 2.26.32 | test: fg

time: 2.26.33 | test: fdg 

time: 2.26.40 | test: sdf

time: 2.26.41 | test: dsf

time: 2.26.49 | test: sdf

time: 2.26.50 | test: sdf

time: 2.57.1 | +playername+: gfdfg 

time: 2.57.20 | tra@xxx@xxas: fsdf

time: 3.5.32 | mitch: df 

time: 3.5.33 | mitch: df 

time: 3.30.42 | mitch: 0

time: 3.38.23 | mitch: sdsd

time: 3.38.27 | mitch: sdsd

time: 3.38.32 | mitch: sd

time: 3.38.38 | mitch: sd

